[00:00 - 00:02] ベアリングってどうやってやるんですか?
[01:01:24 - 01:01:26] どうや?
[01:01:26 - 01:01:28] あ、動いた。
[01:01:28 - 01:01:33] マウスは動きましたね。でもUSBメモリが認識しませんね。
[01:01:33 - 01:01:49] そうそうそうそう。ここ数か月前ぐらいかな。たまに認識しない時があるなと思ってました。
[01:01:49 - 01:01:54] もうちょっと早く教えてよ。もうマウスは買います。
[01:01:54 - 01:02:02] キッチンを出しします これはちょっとややばめの
[01:02:02 - 01:02:07] はいではちょっとかわいそうすぎる うん
[01:02:07 - 01:02:13] まあ頑張ってください頑張って 頑張ってるよ
[01:02:16 - 01:02:19] 頑張ってるよあっ
[01:02:19 - 01:02:25] 一番の原因のやつを発見したんだけど
[01:02:25 - 01:02:31] トレンドマイクロのウイルスバスター
[01:02:31 - 01:02:33] 写真?
[01:02:33 - 01:02:35] ウイルスバスター嫌いなんだけど
[01:02:35 - 01:02:37] 私も好きじゃない
[01:02:37 - 01:02:39] 日本に入れないとダメなんでしょ
[01:02:39 - 01:02:41] むしろこいつがウイルスです
[01:02:41 - 01:02:44] そうだよね、私も大っ嫌いその人
[01:02:44 - 01:02:47] トラブルばっかりやりやがるんで
[01:02:47 - 01:02:50] 一人で勝手に重たくしますよね
[01:02:50 - 01:02:51] 本当に嫌い
[01:02:51 - 01:02:53] それだけじゃなくてアップデートしたら
[01:02:53 - 01:02:56] 自分自身をウイルスと勘違いして
[01:02:56 - 01:02:57] システムをぶっ殺すっていう
[01:02:57 - 01:02:58] バカじゃないの
[01:02:58 - 01:03:00] いやこれ本当なんですよ
[01:03:00 - 01:03:05] 山崎さんは絶対にレントダメだったんですね
[01:03:05 - 01:03:10] 実際はWindows標準のウイルス対策ソフトで十分なんです
[01:03:10 - 01:03:11] 性能いいんで
[01:03:11 - 01:03:15] もう退職されたんですけど
[01:03:15 - 01:03:17] 退職された方が絶対に入れるため
[01:03:17 - 01:03:18] なるほど
[01:03:18 - 01:03:22] 入れさせられたんじゃなかったかな
[01:03:22 - 01:03:24] なんか途端に快適になった
[01:03:24 - 01:03:27] 本当?快適になった?
[01:03:30 - 01:03:32] でもUSBは認識しないわ
[01:03:32 - 01:03:34] そこは入れないか
[01:03:34 - 01:03:36] 動きはすっげえ変わってなりました
[01:03:36 - 01:03:38] 本当に?
[01:03:40 - 01:03:41] 動きはめちゃ軽くなりましたよ
[01:03:41 - 01:03:47] なんかちょっとそんな気がするん ドライバーだってこれ後でちょっと
[01:03:47 - 01:03:52] の道さんが帰る遅くなっちゃうんで いいえ
[01:03:52 - 01:04:00] えっとふんだっけなってこれがあっこれはチェッチーの今あのプライベートモードって いうやつで
[01:04:00 - 01:04:05] a 1パスワードていっ
[01:04:05 - 01:04:11] パスワードでいっ 家の管理システム
[01:04:11 - 01:04:26] すいませんなんかちょっと私が時間かかっちゃってしまって
[01:04:26 - 01:04:32] リモートのやつだけ入れたらあとはもう私が自宅の方からやりますんで
[01:04:38 - 01:04:39] あーりゃそれはダメですね
[01:04:39 - 01:04:42] 今のチューブコック行ってるんですよ
[01:04:42 - 01:04:43] おーチューブですかすごい
[01:04:43 - 01:04:51] また俺が塾やってた時に教えてました
[01:04:51 - 01:04:56] へー教員やってらっしゃったんですか
[01:04:56 - 01:04:57] 個人でチューブをやりたい
[01:04:57 - 01:04:59] すごいですね
[01:04:59 - 01:05:00] この仕事の前に
[01:05:00 - 01:05:02] 前にへー
[01:05:02 - 01:05:07] すごいです僕あの普通に
[01:05:07 - 01:05:08] なにこれ
[01:05:08 - 01:05:10] あ、これでしょ。
[01:05:10 - 01:05:11] なにそれ。
[01:05:11 - 01:05:15] これは僕がいつもサポートするときに使ってるやつなんですけど。
[01:05:15 - 01:05:18] 松下さ、あ、松下って言います。
[01:05:18 - 01:05:22] まって、これさ、CMしたじゃないですか。
[01:05:22 - 01:05:23] はいはい。
[01:05:23 - 01:05:24] それ?
[01:05:24 - 01:05:29] いや、あの、もじってるだけっすよ。
[01:05:29 - 01:05:30] 誰だっけ?
[01:05:30 - 01:05:32] あの、演歌歌手のね。
[01:05:32 - 01:05:33] そうですよね。名前は出てこないけど。
[01:05:33 - 01:05:34] 細川たかし。
[01:05:34 - 01:05:36] 細川たかしですわ。
[01:05:38 - 01:05:43] これでいろんな会社さんのいろんなパソコンを全部管理してるんですね、私が。
[01:05:44 - 01:05:44] それ俺ですか?
[01:05:45 - 01:05:48] これAIで昔々作ったやつ。
[01:05:48 - 01:05:49] 俺そうですか?
[01:05:49 - 01:05:49] はい。
[01:05:56 - 01:05:57] 言われ込みを待つ。
[01:05:58 - 01:05:59] 間違ってないかもしれません。
[01:06:00 - 01:06:02] ニューアジア共同…
[01:06:02 - 01:06:04] 新アジア有効共同組合。
[01:06:05 - 01:06:07] ニューアジア…新アジアですか?
[01:06:07 - 01:06:09] 新アジア有効共同組合
[01:06:09 - 01:06:10] 誰?誰?誰?
[01:06:10 - 01:06:11] 会社の名前です
[01:06:11 - 01:06:12] 新アジア有効共同組合
[01:06:12 - 01:06:14] 有効共同組合
[01:06:14 - 01:06:16] 有効共同組合
[01:06:16 - 01:06:18] 共同組合ですね
[01:06:19 - 01:06:20] 有効が違う
[01:06:22 - 01:06:23] そうなんだよねー
[01:06:23 - 01:06:25] みんないろいろ間違うんだよねそこ
[01:06:25 - 01:06:26] はい
[01:06:26 - 01:06:27] OKですねー
[01:06:27 - 01:06:30] これで会社登録して
[01:06:31 - 01:06:33] 女の子ですか?
[01:06:33 - 01:06:34] ん?
[01:06:34 - 01:06:35] 息子ですか?
[01:06:35 - 01:06:36] 女男男で
[01:06:36 - 01:06:40] - 一番いいじゃないですか。- ちゃんとチームアンマーしてくれましたよ。
[01:06:40 - 01:06:43] - めっちゃいいじゃないですか。- めっちゃよかったです。
[01:06:43 - 01:06:48] - これ、うちと同じパターンですね。- 本当ですか?
[01:06:48 - 01:06:53] - 素晴らしいじゃないですか。- 従順な弟たちの2人いますよ。
[01:06:53 - 01:06:59] - 絶対そうなりますよね。- 心配しなくてもそうなるので、安心してください。
[01:06:59 - 01:07:04] あ、なんか画面変になってるな。やっぱなんかおかしいね、このマシン。
[01:07:08 - 01:07:11] 何だろうな。なんか変なことしたかね?
[01:07:11 - 01:07:16] いや。あ、行った行った。なんかちょっと調子はおかしいんで。
[01:07:16 - 01:07:19] 私が触ったら多分ある程度はまともになりますんで。
[01:07:19 - 01:07:21] あ、行けた行けた。
[01:07:24 - 01:07:25] インストール。
[01:07:25 - 01:07:26] ごめんね。
[01:07:26 - 01:07:28] はい、入りました。
[01:07:28 - 01:07:30] OKです
[01:07:30 - 01:07:32] これで私が遠隔であとやっておきます
[01:07:32 - 01:07:33] はい
