[00:00 - 00:05] ありますので、またご協力いただけると嬉しいです。
[01:08:07 - 01:08:15] けど、在庫としては1個1個しかない場合に、 今の許可しない場合、欠品になります。
[01:08:15 - 01:08:19] 同じロットじゃないと出荷できない。
[01:08:20 - 01:08:26] よく賞味期限で、同じ賞味期限のものが2つ揃ってないと、
[01:08:26 - 01:08:29] 例えばですけど、これ全て同じ商品だと思ってます。
[01:08:29 - 01:08:35] 賞味期限が、古いものと新しいものが2個あります。
[01:08:35 - 01:08:40] 本来のルールは古いものから出していくというルールなんですけど
[01:08:40 - 01:08:43] じゃあ私2個買ってこっちから1個取らないんです
[01:08:43 - 01:08:45] こっち取りに行きます
[01:08:45 - 01:08:47] というような制御になります
[01:08:47 - 01:08:51] 新しくても揃っているものを引き当てていきます
[01:08:51 - 01:08:57] なので今回の購入の場合は新しいものは先になくなりますけど
[01:08:57 - 01:09:01] 古いものが1個残ってしまうというような制御になります
[01:09:01 - 01:09:06] こちらについてはロット製造番号ですので
[01:09:06 - 01:09:09] 許可するかしないかというところは
[01:09:09 - 01:09:11] 決めになってくるかなと思うんですけど
[01:09:11 - 01:09:14] 一旦しないようになってきますので
[01:09:14 - 01:09:18] ここは許可するとかそういったお客様がいらっしゃいますので
[01:09:18 - 01:09:23] ここはまたちょっとご検討いただけたらと思います
[01:09:23 - 01:09:27] 実行しました
[01:09:27 - 01:09:28] 欠品はありません
[01:09:28 - 01:09:50] すべての商品が今WMSから
[01:09:50 - 01:09:56] 一旦この在庫からステータスが移動しておりますので
[01:09:56 - 01:10:16] 今一番上のところ
[01:10:16 - 01:10:18] 在庫数が5個で
[01:10:18 - 01:10:21] 引き当て中
[01:10:21 - 01:10:23] 引き当てしているものが2個
[01:10:23 - 01:10:24] 今これ出荷指示データで
[01:10:24 - 01:10:26] 2個引き当てています
[01:10:26 - 01:10:29] 有効在庫が3個というので
[01:10:29 - 01:10:32] 今ちょっとこの作業中の在庫の状態というのは
[01:10:32 - 01:10:33] こういうふうになります
[01:10:33 - 01:10:36] 今3個の中にはトータル5個あるんですけど
[01:10:36 - 01:10:38] 引き当たっていて
[01:10:38 - 01:10:42] 販売できる在庫数が3個でありますので
[01:10:42 - 01:10:44] 例えばその作業中
[01:10:44 - 01:10:47] お昼の間に在庫を見ていただきたいときは
[01:10:47 - 01:10:52] 実際に販売できる数量というのは
[01:10:52 - 01:10:55] 有効在庫数というところになりますので
[01:10:55 - 01:10:57] ご確認いただけたら
[01:10:57 - 01:10:58] こっちにしてしまうと
[01:10:58 - 01:10:59] これ出荷が終わったら
[01:10:59 - 01:11:01] 出荷確定みたいなところだったら
[01:11:01 - 01:11:03] ここ3に入れ替わりますので
[01:11:03 - 01:11:07] 一応これ出荷が終わったら
[01:11:07 - 01:11:08] 移行面だけです
[01:11:08 - 01:11:10] 今ちょっと作業中のステータスを
[01:11:10 - 01:11:11] ご確認いただきたいなと
[01:11:11 - 01:11:14] 説明させていただきました
[01:11:14 - 01:11:24] では引き当てが終わりましたので
[01:11:24 - 01:11:27] では、送り状を出します。
[01:11:31 - 01:11:38] PDFで出てきますので、画面で見た後に休憩を挟みますので、
[01:11:42 - 01:11:48] このような形で送り状を印刷していきます。
[01:11:48 - 01:11:50] かわいいロゴ。
[01:11:50 - 01:11:59] 後からサイトコードですとか出荷タイプが分岐されないときに
[01:11:59 - 01:12:08] これが事前に実は総合テストの成果率をお渡しさせていただいておりまして
[01:12:08 - 01:12:12] このロゴに隠れている部分というところが
[01:12:12 - 01:12:16] このロゴがもう反映しないパターンをお見せいたしますので
[01:12:16 - 01:12:18] これ代理機ですね
[01:12:18 - 01:12:22] 大臣の場合のお送りとなります
[01:12:22 - 01:12:24] ではどんどん
[01:12:24 - 01:12:26] 印刷するお時間をいただきたいので
[01:12:26 - 01:12:29] 20分まで
[01:12:29 - 01:12:31] 休憩にしたいなと思います
[01:12:31 - 01:12:35] もうイレギュラーも
[01:12:35 - 01:12:36] やっておきます
[01:12:36 - 01:12:40] ではどんどん
[01:12:40 - 01:12:42] 松井さんじゃあ
[01:12:42 - 01:12:43] お煙草を
[01:12:43 - 01:12:47] ご配備いただきましてありがとうございます
[01:12:47 - 01:12:49] はい、ありがとうございます。
[01:12:51 - 01:12:53] はい、どうぞ。
[01:12:53 - 01:12:55] 8番。
[01:12:55 - 01:12:57] ちょっとここ、上げてきますね。
[01:12:57 - 01:12:59] あ、はい。
[01:13:01 - 01:13:03] あ、出ていただいて。
[01:13:03 - 01:13:05] はい。
[01:13:11 - 01:13:13] ここで、さっき入れて、
[01:13:13 - 01:13:15] 引き当て線、
[01:13:15 - 01:13:17] あ、そうですね。
[01:13:17 - 01:13:23] 入れちゃいますよ お願いしまーす
[01:13:43 - 01:13:45] これも引き上げる
[01:13:45 - 01:13:47] あ、すいません。
[01:14:15 - 01:14:37] プリンターが見えなくなった人は、プリンターセッティングしていますか?
[01:14:37 - 01:14:51] 間違っている。手差しに入れてるんですよ。
[01:15:07 - 01:15:09] はい
[01:15:09 - 01:15:11] はい
[01:15:11 - 01:15:13] はい
[01:15:13 - 01:15:15] はい
[01:15:15 - 01:15:17] はい
[01:15:17 - 01:15:19] はい
[01:15:19 - 01:15:21] はい
[01:15:21 - 01:15:23] はい
[01:15:23 - 01:15:25] はい
[01:15:25 - 01:15:27] はい
[01:15:33 - 01:15:35] はい
[01:15:35 - 01:15:38] これ一つ目
[01:15:48 - 01:15:51] 一枚ずつですよね
[01:16:05 - 01:16:07] はい
[01:16:35 - 01:17:05] ご視聴ありがとうございました
[01:17:05 - 01:17:35] おやすみなさい
[01:17:35 - 01:18:05] ご視聴ありがとうございました
[01:18:05 - 01:18:35] ご視聴ありがとうございました
[01:18:35 - 01:19:05] おやすみなさい
[01:19:05 - 01:19:35] 早送り
[01:19:35 - 01:19:51] そうですか
[01:19:51 - 01:19:55] サイトコードが
[01:19:55 - 01:19:58] 出荷指示データのサイトコードという項目が
[01:19:58 - 01:20:01] ゾーンで入ってくるんだったら
[01:20:01 - 01:20:02] 必要になります
[01:20:02 - 01:20:05] じゃあやっぱりユーザースクールとして
[01:20:05 - 01:20:07] ロゴを変えるなら
[01:20:07 - 01:20:10] ロゴを変えなきゃいけないのかな
[01:20:10 - 01:20:12] ロゴを使わないんだったらですね
[01:20:12 - 01:20:14] サイトコードを分ける必要ないですよね
[01:20:14 - 01:20:16] ないです
[01:20:16 - 01:20:18] そのまま行っていきますね
[01:20:18 - 01:20:21] と言えばそれでいい話は続きます
[01:20:21 - 01:20:24] ただ出荷地データに
[01:20:24 - 01:20:26] ゾーンと入ってきたら
[01:20:26 - 01:20:28] 離れられます
[01:20:28 - 01:20:31] その時はアダマスにしますけど
[01:20:31 - 01:20:35] 教授のロゴなしのやつにして あーでもダメか
[01:20:35 - 01:20:37] アダマスになっちゃう じゃあダメだ
[01:20:37 - 01:20:38] じゃあ作るのがダメか
[01:20:38 - 01:20:44] かこの動画にCISの領収書を 入れていきますよっていうか
[01:20:44 - 01:20:47] 領収書はうちの名前だけで セッティングは
[01:20:47 - 01:20:51] でもサイトコードマスターを WSで作ってしまえばいいだけの話
[01:20:51 - 01:20:52] そうなんですけど
[01:20:52 - 01:20:55] じゃあやっぱり作ってもらっていいのか
[01:20:55 - 01:21:01] セットをNキーにしていただきました
[01:21:01 - 01:21:09] また詳しく教えていただければすぐに
[01:21:09 - 01:21:10] お待ちしております
[01:21:10 - 01:21:12] ありがとうございます
[01:21:12 - 01:21:14] そうしたら
[01:21:14 - 01:21:16] ちょっと今
[01:21:16 - 01:21:18] 油を入れて
[01:21:18 - 01:21:20] あと2分お待ちください
[01:21:32 - 01:21:35] さっきのスノーフォークさんの件は
[01:21:35 - 01:21:37] もともとやるという方向で
[01:21:37 - 01:21:39] という話になっていたところです
[01:21:39 - 01:21:45] 嫌いに弱く進めなさい みたいな感じで言われたらしい
[01:21:45 - 01:21:48] たぶん中身どうするか分かってないまま 言ってるんだろうな
[01:21:48 - 01:21:54] この間は軽くご紹介の 倉庫なぎセンティングを
[01:21:54 - 01:21:59] 挟んでいただいただけなんですけど どんな運用を求めておられるかとか
[01:21:59 - 01:22:03] ちょっと打ち合わせした上での 話になるかと思うんで
[01:22:03 - 01:22:08] 今すごいレベル低い状態でやってるんで それのうちのどっかの本を
[01:22:08 - 01:22:13] オンラインの部分は多分全部いけると思う。オンラインとか全部もう出したらっていうので。
[01:22:13 - 01:22:18] 今ちょっと人選入りかけてるんですよ。ピッキング舞台とか。
[01:22:18 - 01:22:25] あそこは組織としてなってないんで、一応責任権限で分けてみたいな感じでちょっと社内改革やってるので、
[01:22:25 - 01:22:33] もうそこの中にピッキング舞台ないっていう状態で、多分いつの時点からこの商品を出しましょうねっていうような感じで。
[01:22:33 - 01:22:40] 多分10月終わりか11月ぐらいには具体的な話が座るんじゃないかなという気はしますね。
[01:22:40 - 01:22:42] かしこまりました。
[01:22:42 - 01:22:50] とりあえず一旦開いのポイントは、始める上でしっかりと話をしないといけないし、
[01:22:50 - 01:22:55] 一旦アップを起こした上で話をしようと思います。
[01:22:55 - 01:23:05] 今、送り状を出しました。
[01:23:05 - 01:23:09] 今、これを使ってしていきます。
[01:23:09 - 01:23:15] アダマスのUパック、Uパケット、イセジョンのUパックの方です。
[01:23:15 - 01:23:22] 今は、レギュラーパターンの出荷、正常な出荷を今からやっていきますので、
[01:23:22 - 01:23:31] ので一応ですね セット商品があったやつ
[01:23:31 - 01:23:38] これこれですね 違うなこれじゃないな
[01:23:38 - 01:23:40] こっち全部異性順だわ これですね
[01:23:40 - 01:23:45] これセット商品マスターです 違うな
[01:23:45 - 01:23:51] 1行で2行で3行 これだルームクリーンセット
[01:23:51 - 01:23:57] これがセット商品マスターのやつ なんですけど
[01:23:57 - 01:23:59] 一応セット商品マスターの表記 としては
[01:23:59 - 01:24:05] 先ほどのこのセット商品マスター の商品名で
[01:24:05 - 01:24:09] 出荷指示データをいただきます 商品番号と商品名で
[01:24:09 - 01:24:16] こういう風にくると納品書には 先ほど私サイトの購入の
[01:24:16 - 01:24:20] 販売名だという風にご説明させて いただきましたが
[01:24:20 - 01:24:26] これがお客さんのところに行く ものなのでこのような表記になります
[01:24:26 - 01:24:31] ただし倉庫側ではこれで来ても 何をピッキングしたらいいかわからないので
[01:24:31 - 01:24:36] 真ん中のお客様のところに行かない このピッキングリストが真ん中になるんですけど
[01:24:36 - 01:24:42] ここにはこれの構成品が書かれています
[01:24:42 - 01:24:49] A010103にこの商品が入っている こっちはA010104にこの商品
[01:24:49 - 01:24:56] なので、03と04から1個ずつ取ってきたら、このセット商品は完成するというような内容になっております。
[01:24:57 - 01:25:07] さらに、これもう一つ仕込んでおりまして、これはギフトになります。
[01:25:08 - 01:25:17] 先日打ち合わせしたときに、ここの表記を隠すことができないかというところでご依頼いただいておりまして、
[01:25:17 - 01:25:22] 一応ギフトフラグを設定した出荷になっております
[01:25:22 - 01:25:25] このような形で金額が乗らないので
[01:25:25 - 01:25:31] その際はこの岡山明細研領収書という言葉は変わらないということですね
[01:25:31 - 01:25:32] これ変わらないですね
[01:25:32 - 01:25:38] ただ出荷指示データで情報を入れていただいておりますので
[01:25:38 - 01:25:40] ここを書き換えていただければ
[01:25:40 - 01:25:41] なるほど
[01:25:41 - 01:25:43] これデータの内容を参照しています
[01:25:47 - 01:25:56] ギフトの時が例えば納品証にして、金額載せる時は領収書っていう風にもできる
[01:25:56 - 01:26:01] そうですね、今ちょっと出荷指示データをご確認してみますね
[01:26:01 - 01:26:03] CSVの中で見えるんですか
[01:26:03 - 01:26:06] こっち側で制御して
[01:26:06 - 01:26:23] ここを書き換えていただければ
[01:26:23 - 01:26:25] この情報が
[01:26:25 - 01:26:27] 素直にここに表示されている
[01:26:27 - 01:26:28] というところで
[01:26:28 - 01:26:30] なっておりますので
[01:26:30 - 01:26:33] これですね
[01:26:33 - 01:26:36] そういった制御できそうです
[01:26:36 - 01:26:42] できますありがとうございますとであればあの 変わりますか言う
[01:26:42 - 01:26:45] その時が分かるん
[01:26:47 - 01:26:51] 落ちて1個税されたので
[01:26:52 - 01:27:00] データにはこういうふうにあの金額の情報 とか入っておりますが印刷されないと言う
[01:27:00 - 01:27:06] では、早速出荷をしていって
[01:27:06 - 01:27:09] ちょっと竹幅にしたいところがあるんですけど
[01:27:09 - 01:27:11] これ一応ギフトオフフラグ
[01:27:11 - 01:27:14] 基本的には立ってるつもりなんですけど
[01:27:14 - 01:27:16] 代理の時だけちょっと商品
[01:27:16 - 01:27:20] 領収書もこちらで兼というか
[01:27:20 - 01:27:22] 一応なりますので
[01:27:22 - 01:27:25] そちらの方に金額を詳しく言いたいんですけど
[01:27:25 - 01:27:27] この合計値って
[01:27:27 - 01:27:29] ちょっと間に合われたマッピングリストによると
[01:27:29 - 01:27:33] ここってなんかちょっとマッピングされてなかったんですけど
[01:27:33 - 01:27:40] これって合計、確かに44と51のところに合計金額って書いてあるんですけど
[01:27:40 - 01:27:42] それとも自動計算なのか
[01:27:42 - 01:27:44] これかって訓示ですよね
[01:27:44 - 01:27:45] 自動計算ではないですよね
[01:27:45 - 01:27:49] このやつはラッピングになります
[01:27:49 - 01:27:54] どっちか、44と51、2つあったんですね
[01:27:54 - 01:27:57] 44と51ですか
[01:27:57 - 01:28:01] 44が合計、51が合計金額
[01:28:01 - 01:28:03] 合計とか二つ?
[01:28:03 - 01:28:06] AR列とAY列
[01:28:06 - 01:28:08] AY列のほうか
[01:28:08 - 01:28:09] 金額
[01:28:09 - 01:28:10] 金額なんですね
[01:28:10 - 01:28:13] それがKとこれです
[01:28:13 - 01:28:15] 商品Kは多分ここですね
[01:28:15 - 01:28:18] 一番上の課税対象額ですね
[01:28:18 - 01:28:23] ここからいろいろこのポイント利用ですとか
[01:28:23 - 01:28:26] クーポンを引いた最終的なこの金額
[01:28:26 - 01:28:31] お客様が購入された金額っていうのがここに載っています
[01:28:31 - 01:28:35] ここで表示されるものはCSVに準拠しているので
[01:28:35 - 01:28:38] 勝手に計算されることはないです
[01:28:38 - 01:28:40] あともう1点なんですけど
[01:28:40 - 01:28:43] 確か商品けどこの項目って
[01:28:43 - 01:28:47] タイトルを自分で決めれるみたいな感じだと思うんですけど
[01:28:47 - 01:28:50] 入れなかったらレーズンになります?
[01:28:50 - 01:28:52] タイトルっていうのがあったと思いますけど
[01:28:52 - 01:28:54] 可変タイトルですよね
[01:28:54 - 01:28:57] 可変のタイトルになっていて
[01:28:57 - 01:29:00] 納品書タイトルかな?ちょっと前かな
[01:29:00 - 01:29:02] この辺ですね。
[01:29:02 - 01:29:04] 商品タイトルって。
[01:29:04 - 01:29:08] そうですね。これ入れなかったら上詰めになりますからね。
[01:29:08 - 01:29:10] なってきますね。
[01:29:10 - 01:29:14] 場所が固定されてるわけじゃなくて、どんどん上詰められてくる。
[01:29:14 - 01:29:20] 例えば台引き手数、ポイントとかクーポンとか無かったら消しちゃいたりとか、余分な送料とか。
[01:29:20 - 01:29:22] 上詰めですよ。
[01:29:22 - 01:29:24] 上詰めです。
[01:29:24 - 01:29:28] 一通りこれ今入っている状態です。
[01:29:28 - 01:29:33] なかったらどんどん上に詰まると大丈夫ですね はい ありがとうございます
[01:29:33 - 01:29:37] 電動タブを確認しておきます
[01:29:40 - 01:29:44] はい では 出荷作業で
[01:29:44 - 01:29:50] では流れ ここからは倉庫の中の運用になってきますが
[01:29:50 - 01:29:57] まず送り状と印刷したら この送り状を持って倉庫に行きます
[01:29:57 - 01:30:02] まずは商品をピッキングしますので、少々お待ちください。
[01:30:10 - 01:30:12] ピッキングギガピーはしないんですか?
[01:30:12 - 01:30:18] ピッキングギガピーはしないです。最後、出荷の時にやらせていただきますので。
[01:30:27 - 01:30:45] こういう運用はしないんですけど ちゃんとカゴに一軒一軒入れて
[01:30:45 - 01:30:46] いきます
[01:30:46 - 01:30:52] このように今商品をピッキングしてきました
[01:30:52 - 01:30:59] これで出荷検品をしていきます
[01:30:59 - 01:31:04] ピッキングは今お話しされていた通りこれを使わないので
[01:31:04 - 01:31:07] この点票を持ってこのロケーションに行って
[01:31:07 - 01:31:10] その数だけピッキングしてくるんですけれども
[01:31:10 - 01:31:15] 出荷の最後のところ出荷検品という項目で
[01:31:15 - 01:31:19] この持ってきたものが最終的に合っているかどうかというのを
[01:31:19 - 01:31:20] システムで検品していきます
[01:31:35 - 01:31:40] では最初にこのピッキングリストの上のパーコードを読みます
[01:31:40 - 01:31:45] このパーコードというのはこのオーダーに対して
[01:31:45 - 01:31:48] 別々にこの増やされるものでございます
[01:31:48 - 01:31:50] 仕分け指示というものね
[01:31:50 - 01:31:53] で、次品を聞かれます
[01:31:53 - 01:31:56] これとこれを読むんですけども
[01:31:56 - 01:31:56] どうしよう
[01:31:56 - 01:32:01] こうすると間違ったんですよと
[01:32:01 - 01:32:03] 確認してくださいという風に
[01:32:03 - 01:32:09] 出荷ミスを極限までなくすというのが
[01:32:09 - 01:32:13] 最後に箱に入れる前の作業になります
[01:32:13 - 01:32:18] システム上、弾くようになっておりますので
[01:32:29 - 01:32:34] そしたら、このオーダーに関して検品が終わりましたということで
[01:32:37 - 01:32:39] 今度は梱包になっていきますので
[01:32:39 - 01:32:46] 本来は出荷検品していったら、当てたらすぐに箱に入れて
[01:32:46 - 01:32:49] 紙の紙を落として入れます。
[01:32:49 - 01:32:50] で、入れます。
[01:32:50 - 01:32:52] で、チラシがあるからチラシも入れます。
[01:32:52 - 01:32:59] で、蓋を閉めて、実際に1個完成させてみます。
[01:32:59 - 01:33:15] これ一応しばらく一定期間保管させていただきますので
[01:33:15 - 01:33:21] これで有効として完成になります
[01:33:21 - 01:33:28] どんどん同じ作業を進めていくというような内容になります
[01:33:28 - 01:33:43] それで最後に確定データって 今恐らく確定データ運用してない
[01:33:43 - 01:33:51] はずなんだけども何かと言います と箱サイズですね最後の箱サイズ
[01:33:51 - 01:33:57] を確定する際に本社の方にももちろん 60サイズ80サイズの運賃あると思
[01:33:57 - 01:34:05] サイズを、要はうちの作業としてサインを測った上で料金を請求されるのが一般的なんですけども、
[01:34:05 - 01:34:11] 私ども作業でしてしまいますので、発行サインを決めた状態で郵便局に引き渡すことになって、
[01:34:11 - 01:34:18] その際、その分の作業がいらないという、データ上で取り込むだけという郵便局として、
[01:34:18 - 01:34:22] あくまでもちょっと楽になるというふうに変わりますので。
[01:34:22 - 01:34:26] こういうふうに最後にこの検品
[01:34:26 - 01:34:31] 今は商品が合っているかどうかの検品が終わった一番最後に
[01:34:31 - 01:34:34] この商品は何サイズの箱ですかというふうに聞かれます
[01:34:34 - 01:34:39] 60サイズですので60と入れます
[01:34:39 - 01:34:43] そしたらこのWMS上でこのオーダーは
[01:34:43 - 01:34:48] この送り状の番号で60サイズで登録されましたというのが
[01:34:48 - 01:34:50] WMS上に登録されます
[01:34:50 - 01:34:57] はい、で、次の作業に移っていくというような内容になっています。
[01:34:57 - 01:35:01] すみません、多分そこに出てないですよね。
[01:35:01 - 01:35:02] 多分聞いてます?
[01:35:02 - 01:35:03] いや、聞いてない。
[01:35:03 - 01:35:04] うん、聞いてない。
[01:35:04 - 01:35:05] 分かりました。
[01:35:05 - 01:35:12] 実は、これ後からになって大変申し訳ないんですけど、これ実はうちにチョップしていきます。
[01:35:12 - 01:35:13] ですよね。
[01:35:13 - 01:35:16] かなと思って今聞きました。
[01:35:16 - 01:35:18] 最後に質問したろうかな
[01:35:18 - 01:35:23] 今の感じだと聞いてないなっていう
[01:35:23 - 01:35:27] JPWMSを使っていたことによって
[01:35:27 - 01:35:30] その要は測る手間っていうのが
[01:35:30 - 01:35:31] 省けますので
[01:35:31 - 01:35:34] その分ミッチングがお安くなります
[01:35:34 - 01:35:35] なるほど
[01:35:35 - 01:35:38] そんな期待するほどの金額ではないですよね
[01:35:38 - 01:35:40] 多分そっちに合わせてくれるんやろう
[01:35:40 - 01:35:42] という期待だけはちょっと持ってたんですけど
[01:35:42 - 01:35:44] なので相馬先生の戻り次第
[01:35:44 - 01:35:50] ちょっと10月1日にちょっとうち間に合うかどうかちょっとわからないんですけども
[01:35:50 - 01:35:55] そこに買っていただくような金額に
[01:35:55 - 01:35:57] ご提案させていただきます
[01:35:57 - 01:35:57] わかりました
[01:35:57 - 01:35:58] ありがとうございます
[01:35:58 - 01:36:04] イレギュラーも入ってますよね
[01:36:04 - 01:36:05] 入っているね
[01:36:05 - 01:36:07] それにのどかなきゃいけない
[01:36:07 - 01:36:12] そしたら先にイレギュラーをやっていきたいなと思っていますが
[01:36:12 - 01:36:13] ごめんなさいそれです
[01:36:13 - 01:36:18] 実際に見ていただければいいかなと思います
[01:36:18 - 01:36:20] ちょっと出荷検品は
[01:36:20 - 01:36:23] イレギュラーで
[01:36:23 - 01:36:26] これロゴがないので
[01:36:26 - 01:36:30] でもアダマスだったかな
[01:36:30 - 01:36:31] これ何だろう
[01:36:31 - 01:36:32] これ多分あれですよね
[01:36:32 - 01:36:34] CSVの方ですよね
[01:36:34 - 01:36:35] CSVです
[01:36:35 - 01:36:38] S010なので
[01:36:38 - 01:36:43] どの分類にもされなかったものになります
[01:36:43 - 01:36:52] サイトコードがブランクのものになります
[01:36:52 - 01:36:58] ここにこのロゴが入らずに
[01:36:58 - 01:37:02] 実はこの上にロゴが乗っかっているイメージです
[01:37:02 - 01:37:05] 実はこれをこうするとこの状態が出てくるので
[01:37:05 - 01:37:10] サイトコードがもしそのデータの中に入ってこなかったら
[01:37:10 - 01:37:13] 分類としてはS010に分類されて
[01:37:13 - 01:37:17] ただ送り状はこのような状態で出ますと
[01:37:17 - 01:37:20] 出荷タイプが分類できなかった場合という
[01:37:20 - 01:37:22] 場合全てS010に出ます
[01:37:22 - 01:37:26] なので出荷指示データで
[01:37:26 - 01:37:29] おそらくS010としてくださいというやつが
[01:37:29 - 01:37:30] こちらになります
[01:37:30 - 01:37:32] これがですね
[01:37:32 - 01:37:34] 次も
[01:37:34 - 01:37:39] 伊勢順がない場合ですね
[01:37:39 - 01:37:45] U-Packetはこれ
[01:37:45 - 01:37:47] U-Packetはブランク
[01:37:47 - 01:37:48] U-Packetはブランク
[01:37:48 - 01:37:51] で、こちら
[01:37:51 - 01:37:53] 異性順なのに
[01:37:53 - 01:37:56] U-Packetの場合
[01:37:56 - 01:37:58] 送り所は出ます
[01:37:58 - 01:38:04] ただ、異性順は
[01:38:04 - 01:38:06] 全てU-Packなので
[01:38:06 - 01:38:08] これの場合、出てきた場合
[01:38:08 - 01:38:09] すぐに
[01:38:09 - 01:38:12] これはもう緊急性が非常に高い
[01:38:12 - 01:38:14] ものになりますので電話させていただきます
[01:38:14 - 01:38:16] 伊勢順さんで
[01:38:16 - 01:38:18] 言うパケットで出ましたけど
[01:38:18 - 01:38:19] いいんですか?
[01:38:20 - 01:38:21] ダメですよね
[01:38:21 - 01:38:22] 押し込みますか?
[01:38:24 - 01:38:25] カバンたかんで入れますか?
[01:38:27 - 01:38:29] 一応想定できる
[01:38:29 - 01:38:30] イレギュラーなパターン
[01:38:30 - 01:38:33] ただこれは出荷できないけれども
[01:38:33 - 01:38:34] この2つは
[01:38:34 - 01:38:37] できるかなというところでいますので
[01:38:37 - 01:38:37] ただ
[01:38:37 - 01:38:39] これも決めですけど
[01:38:39 - 01:38:41] 連絡をした方が良いか
[01:38:41 - 01:38:44] いやもうそのまま出荷してよ
[01:38:44 - 01:38:47] これがお客様のところに行くことになりますので
[01:38:47 - 01:38:47] そうですね
[01:38:47 - 01:38:52] 基本データ作成して伝達するところまでは
[01:38:52 - 01:38:55] 弊社席っていう感じで考えていますので
[01:38:55 - 01:38:57] 特になくてもいいよね
[01:38:57 - 01:39:01] 物理的に送れないものは
[01:39:01 - 01:39:03] こちらだけになるんですけど
[01:39:03 - 01:39:06] あとこの2つに関しては送れますので
[01:39:06 - 01:39:13] そうですね。WMS上でもこの状態を確認できるでしょうし、印刷状態にはなっていないですけど、
[01:39:13 - 01:39:21] 野沢さんが作るシステムの変換上でも、それは検出可能な条件だと思うので。
[01:39:21 - 01:39:29] なので、これを弊社で、一応これがS010という、
[01:39:29 - 01:39:38] 普段見慣れない出荷タイプに関連されるので、その場合は少し気をつけますが、
[01:39:38 - 01:39:45] 出荷してもミスというのがあれば、ただ何か間違っている可能性もあるので、
[01:39:45 - 01:39:50] 商品が伊勢中なのに、ここがアダマスとかっていうパターンもあります。
[01:39:50 - 01:39:53] こっちが間違いない。
[01:39:53 - 01:39:57] だから要するにデータ席として弊社側という、そういうわけです。
[01:39:57 - 01:40:15] でもその場合は、アダマスで出てくると、アダマスの場合、アダマスUパックっていう風になるじゃないですか、そしたら出荷タイプはアダマスの出荷タイプになるので、出ることになります。
[01:40:15 - 01:40:21] 肯定しないデータがあった場合、 虚空からの偏観的に想定したデータがあるとあり得るんだけど、
[01:40:21 - 01:40:26] それは全部こっちでケアするけど、 気づかないパターンでずっと行ってるパターンだから、
[01:40:26 - 01:40:29] 制作できれば全然助かります。
[01:40:29 - 01:40:33] 言うても多分運用が固まるまででしょ、そのパターンが出るのに。
[01:40:33 - 01:40:39] イレギュラーのデータもまあそうだけど、 虚空の仕様が変わったっていうパターンもなきにしませんね。
[01:40:39 - 01:40:44] まあ、たぶんしばらくの間はイレギュラーが起こることもそうで、
[01:40:44 - 01:40:48] イレギュラーが出てきた時にその都度潰していくっていうところの
[01:40:48 - 01:40:52] カットオーバー後はその作業になってくるかなと思うんですけど
[01:40:52 - 01:40:55] こちらとしてもデータチェックの中で
[01:40:55 - 01:41:01] ある程度チェックルーチにかけとけば問題ないでしょう
[01:41:05 - 01:41:10] 出荷については以上になります
[01:41:10 - 01:41:15] イレギュラーパターンについてもこちらになりますので
[01:41:15 - 01:41:17] 今はもうカットオーバーしてから
[01:41:17 - 01:41:23] しばらくは少し連絡の体制を密にしているというところで
[01:41:23 - 01:41:25] 考えておりますのでよろしくお願いします
[01:41:25 - 01:41:28] 次にその他出荷
[01:41:28 - 01:41:33] Uパックじゃない出荷をやっていきます
[01:41:33 - 01:41:41] これが在庫がここの倉庫にあるんだけれども
[01:41:41 - 01:41:42] 本社から出荷したいから
[01:41:42 - 01:41:46] 持ち出したいとかっていう場合を想定しています
[01:41:46 - 01:41:58] 出荷指示データをアップロードしていただきます
[01:42:03 - 01:42:30] これになります
[01:42:30 - 01:42:34] 先ほどご説明していなかったんですけど
[01:42:34 - 01:42:37] 運送業者コードは先ほどこちらの場合
[01:42:37 - 01:42:40] 01の日本郵便という風になっておりました
[01:42:40 - 01:42:44] 今回の場合99その他の運送会社
[01:42:44 - 01:42:48] という風に便所とさせていただいております
[01:42:48 - 01:42:55] 出荷タイプは09
[01:42:55 - 01:42:59] という風に倉庫側に出荷指示が来たら
[01:42:59 - 01:43:03] あとこれは流パックじゃないなと思って
[01:43:03 - 01:43:07] 処理スピッキングだけはスピッキングして
[01:43:07 - 01:43:09] あとは御社のご指示に
[01:43:09 - 01:43:12] じゃあ取りに行くから取ったら置いといて
[01:43:12 - 01:43:14] 一応これイメージ的には
[01:43:14 - 01:43:17] WNSの在庫から減算するっていうのが
[01:43:17 - 01:43:21] 主な目的だと思うんです
[01:43:21 - 01:43:24] では引き当てとかをしていきます
[01:43:24 - 01:43:25] こっちでいいんじゃないの?
[01:43:25 - 01:43:28] こっちじゃないです
[01:43:28 - 01:43:29] あとの作業は?
[01:43:29 - 01:43:30] 一緒です。
[01:43:30 - 01:43:33] 1人、2人、3人ですか。
[01:43:33 - 01:43:39] あとは、勝負は全部60にするけど。
[01:43:39 - 01:43:42] 一応、ちょっとお願いではあるんですけれど、
[01:43:42 - 01:43:44] この18日以来の、
[01:43:44 - 01:43:49] 課長救急の出願のご指示というのは、
[01:43:49 - 01:43:52] 平日に頂きたいなと思って、
[01:43:52 - 01:43:53] なるべく、
