[00:00 - 00:06] 3層研さんのさっきの話なんですけど
[54:20 - 54:23] 決済部分だけお願いしたいんだよねみたいな感じで
[54:23 - 54:24] 相談を持ちかけられたんですけど
[54:24 - 54:27] ショッピファイでやってるって
[54:27 - 54:28] 言わないで
[54:28 - 54:31] こういう取り方ができる仕組みを
[54:31 - 54:33] 作りますよって言ってしまえばいいだけの
[54:33 - 54:33] 話なんです
[54:33 - 54:40] 初期費用で50万くださいって言って
[54:40 - 54:42] デザインは外注に投げ
[54:42 - 54:44] あとはトールさんがどういう出し方します
[54:44 - 54:47] こんな金の取り方もできますよとか
[54:47 - 54:49] これいいねとかって言いながら
[54:49 - 54:50] じゃあ決まったやつ外注に投げ
[54:50 - 54:54] あとはデザインペコペコペコペコって貼ってるだけで
[54:54 - 54:54] はい終わりみたいな
[54:54 - 54:59] 最近ちょっと金の亡者モードが熱い
[54:59 - 55:06] はははははははははは 手早く儲ける
[55:06 - 55:12] はははははは 松下くんの顔にもう実感が出てる
[55:12 - 55:16] はははははははは なるほどですね
[55:16 - 55:18] が一番早いと思うんですよ
[55:18 - 55:20] そしたらもうサーバーのことも考えなくていいし
[55:20 - 55:24] 決済システムも全部ついてくるし うん
[55:24 - 55:39] 最初私その話やった時に動画を作成して欲しい店舗が動画を発注するカートシステムみたいなのを要望し
[55:39 - 55:43] そのシステムトータルを依頼してきたのかなと思ったので
[55:43 - 55:45] よくなんかワードプレスで
[55:45 - 55:46] もう絶対やめた方がいい
[55:46 - 55:50] ワードプレスとかに決済システムに突っ込もうと思ったらいい
[55:50 - 55:55] ECなんちゃらパッケージだからプラグインで十何万だとか
[55:55 - 56:00] ワードプレスのプラグインとそのワードプレスのバージョンのミスマッチだとか
[56:00 - 56:01] めんどくさいよ
[56:01 - 56:02] そうですよね
[56:02 - 56:05] 確かに本間さんに言われた通り
[56:05 - 56:11] いろいろAIで調べたらそういう風な懸念というか
[56:11 - 56:13] あるっていう風には書いてあって
[56:13 - 56:18] でも細かいことは細かい発注の項目だったりとかを
[56:18 - 56:20] 入れられるっていう利点はあるよ
[56:20 - 56:21] みたいな感じだったんですけど
[56:21 - 56:24] ショッピファイでもできる
[56:24 - 56:33] システム作りますって言ってて
[56:33 - 56:35] 裏側はまるっとショッピファイ
[56:35 - 56:38] でいいんじゃないですか
[56:38 - 56:44] 奥様には
[56:44 - 56:49] アウトレット行ってバッグでも買いに行くって
[56:49 - 56:53] そういう感じなんだけどさ
[56:53 - 56:56] 私忙しいのに
[56:56 - 57:01] 一番多分早いと思います
[57:01 - 57:04] 一応ショピハイは
[57:04 - 57:06] 契約3ヶ月間は
[57:06 - 57:06] ただ
[57:06 - 57:10] その間に作り込みしちゃって
[57:10 - 57:11] 3ヶ月後から
[57:11 - 57:13] 運用って言う方っていいんじゃないかな
[57:13 - 57:15] ナイス
[57:21 - 57:30] 自分の中でも、ワードプレスかショピファイか 前にちょっと相談してもらったコネクト
[57:30 - 57:39] そうですね、まあ今日コネクトは複数 単一SKUで複数価格をやるときはあれが一番いいんですよ
[57:39 - 57:46] し向け先によって価格が違うああ 逆単価を指定して指定してっていうので
[57:46 - 57:53] であとまあ pdf で帳票がそのまま向こうに飛んでいくっていう形にするみたいな 感じにするんだったらあれが一番いい
[57:53 - 57:56] なんかあれでどちらかというとこう えっと
[57:56 - 58:03] b 2 b 2 b ですよそうそうそうとか家うちも b 2 b のチャンネルは コネクトを使ってて
[58:03 - 58:10] B2Cの部分もショピファイとか、ヤフーとか、アマゾンとか楽天とか使ってるって感じですよね。
[58:11 - 58:23] いつも経理に言われるのは、こんなにECシステムばっかり入れて、初期費用じゃないわ、年間のその費用とか高いのに、いやいや、利益率で見てよっていう。
[58:23 - 58:25] ん
[58:26 - 58:32] ありがとうんかなっていうところですよね きょうありましたはい
[58:34 - 58:42] あとショピファイから直接えっと 相手の口座に入金することができるので
[58:43 - 58:50] からああ そうだから中島コンピューターサービスの水筒帳をくぐらないで済むっていう良い面もある
[58:50 - 58:52] んですよね
[58:54 - 58:59] そういう決済サービスをやるってなると 契約者のことじゃないとダメとかって
[58:59 - 59:03] なるんですよ 普通このショピファイとかでもと思うんです
[59:03 - 59:07] かでショピファイというか他の医師関係 なやつって
[59:07 - 59:12] そこがね海外企業やからすごくやるんですよ
[59:12 - 59:19] システムはうちから提供するけど
[59:19 - 59:23] 決済に関する講座は好きなところを
[59:23 - 59:25] そう、ショフリファイ側で
[59:25 - 59:31] 決済手数料が抜いた状態のもので振り込まれるんで
[59:31 - 59:37] もしそれをNCS側の講座を通してやるってなると
[59:37 - 59:41] 手数料こっちも無かな
[59:41 - 59:42] 無理じゃないですか
[59:42 - 59:45] しかも水筒がめちゃくちゃめんどくさいってことがあるので
[59:45 - 59:48] そこがショピファイの場合は
[59:48 - 59:51] 口座ダイレクトにできるっていう意味なので
[59:51 - 59:56] だからショピファイと契約するところじゃなくても
[59:56 - 59:57] その口座を指定できるってことですか
[59:57 - 59:58] そうなんです
[59:58 - 01:00:02] 一般的なECサイトを作る場合の
[01:00:02 - 01:00:03] そういうサービスって
[01:00:03 - 01:00:06] 契約してるところの口座じゃないとダメですよ
[01:00:06 - 01:00:09] 一旦そこをお金が通るってことなんですか
[01:00:09 - 01:00:12] なぜそうなるかっていうと
[01:00:12 - 01:00:13] ショピファイ
[01:00:13 - 01:00:16] 楽天アマゾン
[01:00:16 - 01:00:17] ショピファイこれどれもですね
[01:00:17 - 01:00:19] 自分のところで
[01:00:19 - 01:00:21] 決済サービスをやってるんですよ
[01:00:21 - 01:00:23] 楽天だったら楽天カードがあるし
[01:00:23 - 01:00:26] アマゾンもアマゾンでやってるじゃないですか
[01:00:26 - 01:00:27] ショピファイも
[01:00:27 - 01:00:29] ショップペイっていうのをやってるんですけど
[01:00:29 - 01:00:31] これがワードプレスとかになると
[01:00:31 - 01:00:32] スミシンパナ
[01:00:32 - 01:00:34] スミトモ
[01:00:34 - 01:00:36] なんとかパナソニック
[01:00:36 - 01:00:38] ファイナンシャルサービスとか
[01:00:38 - 01:00:41] いろんなとことを個別契約をして
[01:00:41 - 01:00:43] ソフトで合わせるって形にしなきゃいけないんで
[01:00:43 - 01:00:45] あれはめんどくさいだし
[01:00:45 - 01:00:48] Amazonにしても楽天にしても
[01:00:48 - 01:00:49] やっぱりその運用者と
[01:00:49 - 01:00:52] 運用者の口座との関連性とか
[01:00:52 - 01:00:55] この辺がチェックされちゃうんですけど
[01:00:55 - 01:00:57] まあショピファイはねって話なの
[01:00:57 - 01:01:03] っていう面から考えてもショピファイはいいんちゃうかな
[01:01:03 - 01:01:08] 申し込むときに相手の会社名で申し込んでおいて
[01:01:08 - 01:01:12] それは別にうちじゃなくて直接
[01:01:12 - 01:01:15] 管理権はこっち持ってるけど
[01:01:15 - 01:01:20] 登録名義と口座はショピファイにしておけば
[01:01:20 - 01:01:22] 別にショピファイではクリーンだしって感じ
[01:01:22 - 01:01:26] それが楽天とかアマゾンだと
[01:01:26 - 01:01:32] やれ、あれあれ、等規模出せだとか
[01:01:32 - 01:01:36] 届いている請求書の写しを出せだとか
[01:01:36 - 01:01:38] EKYCしろとか
[01:01:38 - 01:01:41] いろいろおそり通さなきゃいけなくなっちゃうので
[01:01:41 - 01:01:42] そういうふうにしなくて済む
[01:01:42 - 01:01:47] 解説・デザイン・商品・放り込む
[01:01:47 - 01:01:48] ある程度できたらポン!
[01:01:49 - 01:01:50] こうかい!っていうのができるので
[01:01:50 - 01:01:53] 分かりました
[01:01:53 - 01:01:56] ありがとうございます
[01:01:56 - 01:02:00] 他にないですか?大丈夫ですか?
[01:02:00 - 01:02:01] 私からは
[01:02:01 - 01:02:05] 中島先生は大丈夫ですか
[01:02:05 - 01:02:06] あのね
[01:02:06 - 01:02:09] これ変えてから
[01:02:09 - 01:02:11] iPhone Air
[01:02:11 - 01:02:12] 変えてから
[01:02:12 - 01:02:17] Apple CarPlay
[01:02:17 - 01:02:19] めっちゃ再起動
[01:02:19 - 01:02:21] かかるようになっちゃったんですよね
[01:02:21 - 01:02:23] それがですね
[01:02:23 - 01:02:24] 一つ
[01:02:24 - 01:02:26] 問題がございまして
[01:02:26 - 01:02:29] iPhoneが新しくなるとですね
[01:02:29 - 01:02:34] カープレイのプロトコルもちょっと変わってしまいまして
[01:02:34 - 01:02:37] 今実はこのiOS26プラス
[01:02:37 - 01:02:43] iPhone15以上の機種でカープレイすると
[01:02:43 - 01:02:46] U1チップっていう新しい
[01:02:46 - 01:02:51] UWBっていう超近接センサーを使った通信ですかね
[01:02:51 - 01:02:53] のプロトコルに切り替わるんですよ
[01:02:53 - 01:02:59] これが古いカープレイとの互換性がちょっとなくて
[01:02:59 - 01:03:05] なるほど。カープレイのユニット自体を変えないといけないって感じですか?あの機械。
[01:03:05 - 01:03:13] まあまあ今はそれで、もう外しちゃってるんですよね。これにしてから。それまではなんかまあ普通に使えてたんです。
[01:03:13 - 01:03:23] それでも、なんだろうなぁ、その長距離走ってて、例えばヤフーカーナビとか表示させてるじゃないですか。
[01:03:23 - 01:03:28] 2時間ぐらい走るといったんなんかこう 再起動かかったりはしてたんですよね
[01:03:28 - 01:03:33] あれは熱暴走ですかね 熱暴走っていうのもありますし
[01:03:33 - 01:03:41] まあもう一つはあの頃のやつって割とまだ 今のそのカープレイ系のものよりも
[01:03:41 - 01:03:46] スペックの低い あのチップもスペック低いんですけど
[01:03:46 - 01:03:49] 中のあの SDカードっていうか
[01:03:49 - 01:03:58] 記憶域にあんまり耐久性がないものをよく使っているというのがあったんで 今、新しいものでも数千円です
[01:03:58 - 01:04:04] 6、7千円くらいで 新しいのを買ってしまえば、もう全然
[01:04:04 - 01:04:08] いいですよ あれ出しておきます、アマゾンのリンク
[01:04:08 - 01:04:16] そんなよりも僕思ったのはそれこそカップホルダーにアームで
[01:04:16 - 01:04:21] iPadでもつけとけばやれるかなと思ったんですけど
[01:04:21 - 01:04:23] やめられた方がいいですね
[01:04:23 - 01:04:24] そうなんですか
[01:04:24 - 01:04:27] 私も一時期そう思ってやったことがあるんですけど
[01:04:27 - 01:04:30] 様々な問題があるんですよ
[01:04:30 - 01:04:34] まずiPadでやると重くて
[01:04:34 - 01:04:38] 車の音ギシギシギシギシうるさいっていうのは
[01:04:38 - 01:04:39] これでもいいんですよ
[01:04:39 - 01:04:42] スマホは
[01:04:42 - 01:04:44] 僕みたいに充電しながら
[01:04:44 - 01:04:46] 立てれて毎回ちゃんと
[01:04:46 - 01:04:47] 持ち去るっていうのができたらいいんですけど
[01:04:47 - 01:04:49] 車に置きっぱんすると
[01:04:49 - 01:04:51] 夏とか冬でおかしくなることがある
[01:04:51 - 01:04:52] そうそう
[01:04:52 - 01:04:56] もちろん
[01:04:56 - 01:04:57] カーナビとしては
[01:04:57 - 01:04:59] ベンツのカーナビよりは
[01:04:59 - 01:05:01] こっちの方が新しいので
[01:05:01 - 01:05:04] 地図情報として新しいので
[01:05:04 - 01:05:06] 特に岐阜や
[01:05:06 - 01:05:07] 愛知の方に
[01:05:07 - 01:05:10] ゴルフ見えとか試合に行った時に
[01:05:10 - 01:05:12] 都市高速
[01:05:12 - 01:05:13] 複雑じゃないですか
[01:05:13 - 01:05:16] 左へ出たらすぐ一番左で
[01:05:16 - 01:05:18] その次はすぐ右へ入れとか
[01:05:18 - 01:05:20] 間違えると
[01:05:20 - 01:05:22] あれれ京都行っちゃった
[01:05:22 - 01:05:23] みたいな感じになっちゃって
[01:05:23 - 01:05:27] そういうことがないように
[01:05:27 - 01:05:29] ヤフーカーナビだと
[01:05:29 - 01:05:29] 結構
[01:05:29 - 01:05:31] グーグルカーナビダメで
[01:05:31 - 01:05:34] ヤフーカーナビの方が便利で
[01:05:34 - 01:05:35] ちゃんと
[01:05:35 - 01:05:37] 高速の出口の
[01:05:37 - 01:05:42] 案内が出るんですよね。案内が出るので。 もうこれだと思って。
[01:05:42 - 01:05:50] だからその取り付けのやつとかつけるよりも、もう全然その6、7千円くらいの新しいタイプの
[01:05:50 - 01:05:55] あのカープレイのやつをつけていただくだけです。本当に。
[01:05:55 - 01:05:58] 本当ですか。またそれリンク送ってください。
[01:05:58 - 01:06:03] 送りますんで。取り付けもね、昔より全然簡単になりまして。
[01:06:03 - 01:06:11] そうなんですよ だって昔のだって別にUSB-Cで電源取って
[01:06:11 - 01:06:19] ああそうそう取り付けは簡単なんですけど設定が ブルートゥースのそのやつ出したりだとかがあったんですけど
[01:06:19 - 01:06:26] まあ今もっと簡単になってるんで またその時はお願いします あともう一つ方法があるんですよ
[01:06:26 - 01:06:35] 何かというとアンドロイドのカーナビシステムをそのままあそこに移すっていう方法があって
[01:06:35 - 01:06:41] 改造も全くないんですけど今のやつみたいにUSBのところにポチって挿すだけなんですよ
[01:06:41 - 01:06:46] そうすると普通だとほらiPhoneを使って何とかするみたいな感じでやるんですけど
[01:06:46 - 01:06:53] SIMが入れるようになっててアンドロイドの独立したシステムが移るっていうやつがあってですね
[01:06:53 - 01:06:59] カープレイの仕組みを使ってアンドロイドを動かすという画面上に
[01:06:59 - 01:07:02] それにすると何が良くなるかというと
[01:07:02 - 01:07:06] カープレイだと動画見れないじゃないですか
[01:07:06 - 01:07:10] ネット振り見たりもできひんし
[01:07:10 - 01:07:14] ナビも一応カープレイの仕様のナビになるから
[01:07:14 - 01:07:20] 元々のヤフーカーナビの情報量の多いナビにはならないじゃないですか
[01:07:20 - 01:07:21] が
[01:07:21 - 01:07:24] そのアンドロイドのナビが動くやつを
[01:07:24 - 01:07:24] 入れると
[01:07:24 - 01:07:26] カーリングキットじゃなくて
[01:07:26 - 01:07:29] オットキャストで検索します
[01:07:29 - 01:07:33] OTTOキャスト
[01:07:33 - 01:07:36] でも電話なんかかかってきた時の
[01:07:36 - 01:07:37] ハンズフリーとか
[01:07:37 - 01:07:40] これでできるんですか
[01:07:40 - 01:07:40] 電動できます
[01:07:40 - 01:07:43] へー
[01:07:43 - 01:07:46] こういうやつかな
[01:07:46 - 01:07:48] これ2014年
[01:07:48 - 01:07:53] 2024年モデル。これが多分最新なのかな。 こういうやつなんですけどね。
[01:07:53 - 01:07:57] 6万! これはね、
[01:07:57 - 01:08:00] わかります?あのさっきの
[01:08:01 - 01:08:07] こういうふうな、2画面とかにしたりとか。
[01:08:07 - 01:08:13] これってどこの画面?これ画面があるんですか? いや、もうナビの画面がそうなんですよ。
[01:08:13 - 01:08:20] 要するに、これってあのカープレイの技術を使ってるんですよ
[01:08:20 - 01:08:27] カープレイのフリをして、カープレイの画面データを流してるけども、その流しているもとはアンドロイドってことなんですよ
[01:08:27 - 01:08:35] アンドロイドの画面を流してるんですよ でタッチとかそういう操作は全部そこでできるっていうやつで
[01:08:35 - 01:08:38] これだと本当
[01:08:38 - 01:08:41] Androidで動くアプリは
[01:08:41 - 01:08:42] 全部動くんで
[01:08:42 - 01:08:45] 走りながら
[01:08:45 - 01:08:46] ネットフリとかYouTube見たりとか
[01:08:46 - 01:08:49] そうなんですか
[01:08:49 - 01:08:50] そうなんですよ
[01:08:50 - 01:08:54] さっきのオットキャストは一番有名な
[01:08:54 - 01:08:54] やつなんですけど
[01:08:54 - 01:08:57] 似たようなもんがたくさんあるんですよね
[01:08:57 - 01:08:59] 似たようなもんが
[01:08:59 - 01:09:00] だってあの車だって
[01:09:00 - 01:09:02] あとどれだけ乗るか分かんないし
[01:09:02 - 01:09:05] そんなになんかもったいないな
[01:09:05 - 01:09:09] - こういう2万円台のやつがあったりとかね。- そうなんですね。
[01:09:09 - 01:09:16] - こんな感じで。- こんなのできるんですか。- ええ。- これをこのままUSBに挿すだけなんですか?
[01:09:16 - 01:09:20] - そうです。USBで挿し・・・- アダプターつけてCに挿すだけですか?- うん。
[01:09:20 - 01:09:26] - で、あとはこいつからこっちにテザリングさせるか、もしくはこの中にシム入れれるタイプだったらシムを入れちゃうわけですわ。
[01:09:26 - 01:09:29] - まあ、別にテザリングでもいいんですけど。- うん。
[01:09:29 - 01:09:34] で高いやつと安いやつの差ははっきりと中に入っているチップの性能の差
[01:09:34 - 01:09:38] ちょっともっさいなーっていう安いやつだったりするんですけど
[01:09:38 - 01:09:44] もう先の6万円くらいになると本当にその辺のスマホと同じくらいパッパパッパ動いていくみたいな
[01:09:44 - 01:09:46] の差っていうところですよね
[01:09:46 - 01:09:50] どうしましょう
[01:09:50 - 01:09:55] 松下みたいに高速乗ってる時にネットフリでずっと見て運転するんだったらこれが最高なんですけど
[01:09:55 - 01:10:01] これ使えばそういうネットフリックスも見れたりする
[01:10:01 - 01:10:03] 走りながら見れちゃうわけですね
[01:10:03 - 01:10:09] ナビも要はカープレイで制限された
[01:10:09 - 01:10:12] アップルっぽい画面にどうしてもされちゃうじゃないですか
[01:10:12 - 01:10:14] 情報量減るじゃないですか
[01:10:14 - 01:10:16] あれがなくて
[01:10:16 - 01:10:21] 本当にナビアプリの画面そのままちゃんと切れてくる
[01:10:21 - 01:10:51] ああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああ
[01:10:51 - 01:10:53] ちゃんと聞けるっていうところですわね
[01:10:53 - 01:10:54] スマホが
[01:10:54 - 01:10:56] ちゃんと画面に
[01:10:56 - 01:10:58] 歌詞と
[01:10:58 - 01:11:01] アートがだーっときれいに出てくれるんで
[01:11:01 - 01:11:03] この機械から
[01:11:03 - 01:11:05] この電話キーを
[01:11:05 - 01:11:07] ハンズフリーで
[01:11:07 - 01:11:09] Bluetoothでリンクするって感じですかね
[01:11:09 - 01:11:13] というやつで
[01:11:13 - 01:11:14] 最近ほら
[01:11:14 - 01:11:16] 例えばベルファイアとか
[01:11:16 - 01:11:18] ああいうのとかでもそうですけど
[01:11:18 - 01:11:19] テレビの解除キットをつけたら
[01:11:19 - 01:11:21] おかしくなっちゃったりとか
[01:11:21 - 01:11:23] 使えませんよとかっていうのはあるじゃないですか
[01:11:23 - 01:11:25] ほとんどみんなこれをつけてるんですよ
[01:11:25 - 01:11:27] これでネットフリーとか
[01:11:27 - 01:11:30] YouTubeを見てるみたいな
[01:11:30 - 01:11:38] この辺はもう性能さまざま
[01:11:38 - 01:11:39] って感じですかね
[01:11:39 - 01:11:40] いろいろ
[01:11:40 - 01:11:45] 1個だけ懸念点があるとするとですね
[01:11:45 - 01:11:47] この仕組みで
[01:11:47 - 01:11:52] 中島さんのNPG5.5はタッチ操作ができない
[01:11:52 - 01:11:54] タッチできますね
[01:11:54 - 01:11:56] っていうところだけがあるので
[01:11:56 - 01:11:58] ダイヤルで操作するって形になるので
[01:11:58 - 01:11:59] グリグリやるしかない
[01:11:59 - 01:12:03] そこだけがちょっとっていうのはありますかね
[01:12:03 - 01:12:08] でもカープレイの今のやり方だけやり変えたいんだよって言うと
[01:12:08 - 01:12:10] 6000円くらいで済みます
[01:12:10 - 01:12:13] まずそれでやったほうがいいかな
[01:12:13 - 01:12:14] っていうのもありますよね
[01:12:14 - 01:12:16] それってなんて機械なんですか
[01:12:16 - 01:12:19] これオットキャストってやつなんですけど
[01:12:19 - 01:12:21] これは例えば中島さんが
[01:12:21 - 01:12:23] 普段使うとき以外に
[01:12:23 - 01:12:25] 家族でお出かけしようっていうときとかは
[01:12:25 - 01:12:27] ベルファイヤーとか
[01:12:27 - 01:12:29] あとあのトールさんの車とかに
[01:12:29 - 01:12:30] ポチってつければ
[01:12:30 - 01:12:33] そういう感じにできるって感じですかね
[01:12:33 - 01:12:35] あーなるほど今ほら壊れてるじゃない
[01:12:35 - 01:12:37] ベルファイヤーかなり
[01:12:37 - 01:12:39] そうなんですか
[01:12:39 - 01:12:41] これつければ
[01:12:41 - 01:12:43] バチッとなるんじゃないの
[01:12:43 - 01:13:13] はっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっはっは
[01:13:13 - 01:13:14] よいしょ
