[00:00 - 00:11] お世話になっております
[01:07:42 - 01:07:44] 多分やり方いろいろあると思うんですよ
[01:07:44 - 01:07:45] 最終的に
[01:07:45 - 01:07:49] 月で占めるときの計算合えばいいんで
[01:07:49 - 01:07:51] 仕入れ電表入れるときに
[01:07:51 - 01:07:54] 仕入れ原価をゼロにすれば
[01:07:54 - 01:07:55] 単純に金額だけ
[01:07:55 - 01:07:58] 最初に仕入れた金額だけ
[01:07:58 - 01:08:02] 仕入れた金額で計算されると思うんで
[01:08:02 - 01:08:04] 月で占めるときに
[01:08:04 - 01:08:05] それでもなれないんじゃない
[01:08:05 - 01:08:09] それか仕入れ電表以外
[01:08:09 - 01:08:11] 在庫調整できなかったっけ
[01:08:11 - 01:08:13] 出庫電表でマイナスとかできない
[01:08:13 - 01:08:17] 出庫電表で在庫を減らせますよ
[01:08:18 - 01:08:19] 在庫減ったり増やしたり
[01:08:19 - 01:08:20] 増やしたりもできます
[01:08:20 - 01:08:22] それによってもいいんじゃない
[01:08:22 - 01:08:25] ちょっとログ的にはね
[01:08:25 - 01:08:27] あれだけど
[01:08:27 - 01:08:30] ログ的には
[01:08:30 - 01:08:32] ストレス的には
[01:08:32 - 01:08:33] 良くないかもしれないけど
[01:08:33 - 01:08:35] 10個入ってきます
[01:08:35 - 01:08:36] 5個ダメでした
[01:08:36 - 01:08:39] 10個でとりあえず受け入れするんですよね
[01:08:39 - 01:08:45] 受け入れってあれですよね
[01:08:45 - 01:08:47] 発注
[01:08:47 - 01:08:48] 発注電票があって
[01:08:48 - 01:08:51] ごめんなさい
[01:08:51 - 01:08:54] 例えば10個注文して
[01:08:54 - 01:08:55] 10個
[01:08:55 - 01:08:57] 御社に入ってきた場合
[01:08:57 - 01:09:00] その時に水入れ電表を10で立てるんですよね
[01:09:00 - 01:09:00] そうですね
[01:09:00 - 01:09:04] 5個
[01:09:04 - 01:09:07] 既存品が出てしまった場合は
[01:09:07 - 01:09:09] 10個電表で
[01:09:09 - 01:09:11] 在庫を減らしますので
[01:09:11 - 01:09:13] マイナス電池で減らします
[01:09:13 - 01:09:13] はい
[01:09:13 - 01:09:17] その後は
[01:09:17 - 01:09:19] メーカーから補填に向けたときに
[01:09:19 - 01:09:21] その5個をどうやって入れるかっていう感じです
[01:09:21 - 01:09:23] それはいろいろやり方って
[01:09:23 - 01:09:25] 仕入れ電表を0円で立ててもいいし
[01:09:25 - 01:09:27] 出庫電表で調整してもいいし
[01:09:27 - 01:09:30] そもそも10個ずつに入ってくるんだったら
[01:09:30 - 01:09:33] 10から何も処理しなくてもいいしっていう
[01:09:33 - 01:09:35] いろんなやり方あるんですけど
[01:09:35 - 01:09:37] 結局何をやりたいかっていうと
[01:09:37 - 01:09:39] 平均減価を合わせるためなんで
[01:09:39 - 01:09:42] 調整するためにはどんなやり方をしてもいいんですけど
[01:09:42 - 01:09:46] ただとりあえず的にログとしてどうやって残すかですね
[01:09:46 - 01:09:49] 本社でどういうふうに管理するか
[01:09:49 - 01:09:52] 既存品の計算とかしたいんだったら
[01:09:52 - 01:09:54] 何かしらそこをルール決めて
[01:09:54 - 01:09:55] 出庫伝票でやるのか
[01:09:55 - 01:09:57] 仕入伝票でやるのかっていうのを決めて
[01:09:57 - 01:10:01] やる必要があるかなっていうところですかね
[01:10:01 - 01:10:03] その把握する上では
[01:10:03 - 01:10:06] 出庫伝票でも仕入伝票でも
[01:10:06 - 01:10:09] どちらでもあれですかね
[01:10:09 - 01:10:12] 統一してやっていれば
[01:10:12 - 01:10:13] 条文としては問題はないんですか
[01:10:13 - 01:10:14] そうですね
[01:10:14 - 01:10:17] はい分かりました
[01:10:17 - 01:10:20] そこで請求かけるってことですよね
[01:10:20 - 01:10:21] こっちから
[01:10:21 - 01:10:22] 請求かけるけど
[01:10:22 - 01:10:24] 請求かける
[01:10:24 - 01:10:28] もう一回仕入れ直すっていう感じ
[01:10:28 - 01:10:30] もう一回仕入れ直すって
[01:10:30 - 01:10:30] そうそう
[01:10:30 - 01:10:33] 普通に仕入れちゃったら金額入っちゃうから
[01:10:33 - 01:10:35] 0円に立てればいいじゃん
[01:10:35 - 01:10:38] でもそれだったら
[01:10:38 - 01:10:40] ログとして分かんないから
[01:10:40 - 01:10:41] 今月いくら
[01:10:41 - 01:10:43] 既存品ありましたみたいな
[01:10:43 - 01:10:45] うどん割りみたいなのが分からなくなっちゃうから
[01:10:45 - 01:10:48] それはちょっと分かるように
[01:10:48 - 01:10:50] 別途得意先入れるとか
[01:10:50 - 01:10:52] コメント入れるとか
[01:10:52 - 01:10:55] 何かしらのレポートに出すときに
[01:10:55 - 01:10:56] 分かるようにしなきゃダメだね
[01:10:56 - 01:10:58] ちょっと打ちても
[01:10:58 - 01:11:00] トレースはしてないから
[01:11:00 - 01:11:02] いろんなやり方あるとは思うんだけど
[01:11:02 - 01:11:06] 基礎を取ったら
[01:11:06 - 01:11:07] 研究立てるんですか
[01:11:07 - 01:11:09] 基礎の品で
[01:11:09 - 01:11:12] 例えば30個仕入れて5個ダメでした
[01:11:12 - 01:11:17] 給紙上メーカーが保証してくれてるから
[01:11:17 - 01:11:18] ある一定額までは
[01:11:18 - 01:11:21] それをメーカーに請求するわけ
[01:11:21 - 01:11:22] 請求するんですよね
[01:11:22 - 01:11:23] こっちの請求立てるんですか
[01:11:23 - 01:11:23] そうそうそうそう
[01:11:23 - 01:11:26] 向こうから製品の請求書が来るけど
[01:11:26 - 01:11:29] こっちからも今度は基本分の請求立てる
[01:11:29 - 01:11:30] 在庫マイナス
[01:11:30 - 01:11:33] 34で在庫マイナス5
[01:11:33 - 01:11:36] マイナス5分をメーカーに請求
[01:11:36 - 01:11:37] お金で補填
[01:11:37 - 01:11:43] ってなったら仕入れ電票じゃなくないですかって話も
[01:11:43 - 01:11:46] うちの場合は仕入れてみるからね
[01:11:46 - 01:11:48] 逆に請求になっている
[01:11:48 - 01:11:49] 請求です
[01:11:49 - 01:11:54] でも在庫計算は
[01:11:54 - 01:11:57] 在庫計算はそれできちっと数が合うし
[01:11:57 - 01:12:01] 履歴としてはトレースがきっちり効いている状態
[01:12:01 - 01:12:04] 売上電票の内容では
[01:12:04 - 01:12:10] 正しい仕入れ数と販売数が把握されている上に
[01:12:10 - 01:12:15] 原価もそれで一致するから大丈夫ってことだね
[01:12:15 - 01:12:21] この弥生は別に請求書は立ててないんですよね
[01:12:21 - 01:12:22] 弥生に使って
[01:12:22 - 01:12:25] 弥生さんその分の請求書は立ててないです
[01:12:25 - 01:12:30] でも一応請求の中に入れといて
[01:12:30 - 01:12:32] お金として入ってきたよっていうので
[01:12:32 - 01:12:35] 金額として反映がされてないと
[01:12:35 - 01:12:38] 営業利益がずれてくる
[01:12:38 - 01:12:39] 経常はそれでいいかもしれない
[01:12:39 - 01:12:41] 向こうさんはTKC使ってるからさ
[01:12:41 - 01:12:43] 会計としてはね
[01:12:43 - 01:12:46] だから経常利益の中にもちろん
[01:12:46 - 01:12:47] そのままやつは入ってくるんだけど
[01:12:47 - 01:12:49] 弥生の中に入ってきてないんだったら
[01:12:49 - 01:12:50] その抜いた分
[01:12:50 - 01:12:53] QCでダメになった分が
[01:12:53 - 01:12:55] 単なる赤っていう条件になっちゃうから
[01:12:55 - 01:12:58] 売上マイナス5万になっちゃうよね
[01:12:58 - 01:13:09] 出庫電表を挟まずに単純に売上げで立てるのは微妙なのか
[01:13:09 - 01:13:12] 単純に売上げで立てればいいですよね
[01:13:12 - 01:13:15] だから出庫電表とか立てなくていいかも
[01:13:15 - 01:13:19] 10個入ってきました仕入れ電表立てます
[01:13:19 - 01:13:20] 5個ダメでした
[01:13:20 - 01:13:23] だったら5個で今度売上げ電表立てれば
[01:13:23 - 01:13:24] 在庫もマイナスになりますし
[01:13:24 - 01:13:27] 仕入れ元に請求する金額としても
[01:13:27 - 01:13:31] 売上店票として同じ商品を相手に立てればね
[01:13:31 - 01:13:34] っていうやり方もありますね
[01:13:34 - 01:13:35] ありじゃないかね
[01:13:35 - 01:13:37] それだとスムーズかも
[01:13:37 - 01:13:40] だから論点としては
[01:13:40 - 01:13:42] 経営側
[01:13:42 - 01:13:44] 要するに売上とかを管理している
[01:13:44 - 01:13:46] マネジメントをやっている側が
[01:13:46 - 01:13:48] どういう表現で見た方が
[01:13:48 - 01:13:50] 一番分かりやすいかってことだね
[01:13:50 - 01:13:53] 今月どれくらい給仕アウトが出ました
[01:13:53 - 01:13:54] ってなったときに
[01:13:54 - 01:13:57] どれくらい補填分があるのかとか
[01:13:57 - 01:13:58] 減ったのかとか
[01:13:58 - 01:14:01] いうエラーレートが分からないと
[01:14:01 - 01:14:03] 動きとして怖いよね
[01:14:03 - 01:14:04] ってなっちゃう
[01:14:04 - 01:14:06] ね、荒川さん
[01:14:06 - 01:14:08] そうですね
[01:14:08 - 01:14:11] 売上でやるのが
[01:14:11 - 01:14:15] そうですね、一番分かりやすいかも
[01:14:15 - 01:14:17] 分かりやすいと思うんですね
[01:14:17 - 01:14:18] 在庫もそれで減りますし
[01:14:18 - 01:14:20] 得意先名で
[01:14:20 - 01:14:24] 電表の方にはメモとかも残せるんで
[01:14:24 - 01:14:28] 先方の方
[01:14:28 - 01:14:30] 御社の方だと
[01:14:30 - 01:14:31] 補填されるんですよね
[01:14:31 - 01:14:32] 売上に上がるんじゃなくて
[01:14:32 - 01:14:34] 10個仕入れたら10個分
[01:14:34 - 01:14:35] 5個
[01:14:35 - 01:14:38] それうちの話
[01:14:38 - 01:14:42] こっちだと
[01:14:42 - 01:14:43] 補填
[01:14:43 - 01:14:45] 仕入れから
[01:14:45 - 01:14:47] 相殺されるような感じになりますね
[01:14:47 - 01:14:50] 仕入れでの買いかけ分から
[01:14:50 - 01:14:51] 総裁されて
[01:14:51 - 01:14:54] 支払うっていう感じですね
[01:14:54 - 01:14:55] すみませんちょっと勘違いしました
[01:14:55 - 01:14:58] 売上店舗でもありですね
[01:14:58 - 01:15:00] 売上店舗がスムーズ
[01:15:00 - 01:15:02] そうすると最終的な
[01:15:02 - 01:15:04] 例えば月締めの段階での
[01:15:04 - 01:15:06] キャッシュフローは合ってるね
[01:15:06 - 01:15:07] っていう印象になるね
[01:15:07 - 01:15:10] じゃないと多分
[01:15:10 - 01:15:12] それがどんどん積算していって
[01:15:12 - 01:15:14] あれなんでこんなにマイナスばっかりなの
[01:15:14 - 01:15:15] っていう話にしならないのかな
[01:15:15 - 01:15:17] です
[01:15:17 - 01:15:19] なんで吸い入れたタイミングで
[01:15:19 - 01:15:23] 納入されたタイミングで仕入れ電票を10個立てる
[01:15:23 - 01:15:28] 5個起損が出たらその5個分は売上として立てればいいのかな
[01:15:28 - 01:15:32] 物の動きとお金の動きが一致しないとダメだから
[01:15:32 - 01:15:34] 電票の考え方として
[01:15:34 - 01:15:38] 売上立てた分は相手側に請求できるということになって
[01:15:38 - 01:15:41] それでいいのっていうことでしょ
[01:15:41 - 01:15:47] 実際に財務上では仕入れからの総裁が聞くから
[01:15:47 - 01:15:51] 営業利益で見ているこの弥生の方では
[01:15:51 - 01:15:52] 売上としてなっているけど
[01:15:52 - 01:15:56] 経常で見ているTKCの会計ソフト側では
[01:15:56 - 01:15:58] 総裁分が入っているという状態
[01:15:58 - 01:16:05] それの証明が売上伝票の方になっているという形だね
[01:16:05 - 01:16:12] その売上伝票を例えば月でまとめるんだったら
[01:16:12 - 01:16:17] 仕入れ先当ての売上伝票を出せば
[01:16:17 - 01:16:20] その月いくらあったかっていうのが
[01:16:20 - 01:16:20] ややおいですけど
[01:16:20 - 01:16:24] 例えば得意先を
[01:16:24 - 01:16:26] それで分けとくのも一つだよね
[01:16:26 - 01:16:26] そうですね
[01:16:26 - 01:16:28] エラー分として
[01:16:28 - 01:16:30] 作っておくと
[01:16:30 - 01:16:33] 得意先と得意先って
[01:16:33 - 01:16:35] 別々のコード体系なんで
[01:16:35 - 01:16:38] 同じメーカーさんの方を
[01:16:38 - 01:16:40] 別で仕入れ先にも
[01:16:40 - 01:16:41] 得意先にも作っておけば
[01:16:41 - 01:16:43] そのやり方はできますね
[01:16:43 - 01:16:46] なるほど
[01:16:46 - 01:16:50] もう同じ名前だけの全然別問として両方にということですね
[01:16:50 - 01:16:55] 仕入れ伝票には仕入れ先しか出てこないですし
[01:16:55 - 01:16:58] 売上には得意先しか出てこないので
[01:16:58 - 01:17:01] どちらにも同じ名前で登録はできる
[01:17:01 - 01:17:05] わかりました
[01:17:05 - 01:17:08] だいぶ荒川さんどうですか
[01:17:08 - 01:17:09] 解像度高まったんじゃないですか
[01:17:09 - 01:17:10] そうですね
[01:17:10 - 01:17:12] 高まってきました
[01:17:12 - 01:17:15] 多分またまたいろいろ出てくるだろうな
[01:17:15 - 01:17:17] という感じはしてますけど
[01:17:17 - 01:17:20] 荒川さんがこの後しなきゃいけないのは
[01:17:20 - 01:17:26] 要するに営業利益的に今計上していっている
[01:17:26 - 01:17:29] 伝票の考え方が現場にないってことなんですよ
[01:17:29 - 01:17:33] 今までのみんなって結局紙伝の中で
[01:17:33 - 01:17:36] 何がいくらありましたよってことばっかり書いてて
[01:17:36 - 01:17:39] この弥生の中にどう反映していくかっていう
[01:17:39 - 01:17:41] ロジックが見えてないわけです
[01:17:41 - 01:17:46] なのでまず荒川さんとしては今回この話の中の検証でもって
[01:17:46 - 01:17:52] 実際に仕入れ電表とか移動玄関のやつを入れた状態の中で
[01:17:52 - 01:17:55] なぜこれが必要なのかっていうことを
[01:17:55 - 01:17:58] 現場に落とし込んでいくっていうのが必要です
[01:17:58 - 01:18:03] どういう形でレポートが上がってきた方がいいのかとかですね
[01:18:03 - 01:18:11] 例えばスプレッドシートでも即取り込めるような状態の配列で配置しておいて
[01:18:11 - 01:18:13] 発生したらここに入れておいてねとか
[01:18:13 - 01:18:15] 均等上で入れておいてねっていう風にして
[01:18:15 - 01:18:21] そういうフローを逆に現場側に支持する必要が出てきます
[01:18:21 - 01:18:24] 今までのやり方の中身を
[01:18:24 - 01:18:27] 荒川さんが変換してってやってると
[01:18:27 - 01:18:31] アナログ変換とデジタル変換が数多く出てしまいます
[01:18:31 - 01:18:47] 最初こんなんだったなと思って
[01:18:47 - 01:18:50] 訳もわからずだったなって
[01:18:50 - 01:18:53] 俺らも再勉強みたいな感じ
[01:18:53 - 01:18:55] 今思い出しました
[01:18:55 - 01:18:57] そうなんです
[01:18:57 - 01:19:03] モノトーカーでは必ず一対の電表で動いていくというのが
[01:19:03 - 01:19:05] 電表管理の基本でございます
[01:19:05 - 01:19:10] 長谷さん他に質問とかないですか大丈夫ですか
[01:19:10 - 01:19:12] 一応もういい時間
[01:19:12 - 01:19:13] そうですね
[01:19:13 - 01:19:17] また何か出てきましたら
[01:19:17 - 01:19:21] Zoom等でご質問をしていただけますか
[01:19:21 - 01:19:23] あんまりこれできんからね数多くは
[01:19:23 - 01:19:25] これははい
[01:19:25 - 01:19:32] 質問をテキストでお送りさせていただきます
[01:19:32 - 01:19:33] そうですね
[01:19:33 - 01:19:38] 基本は今日の中身だけでほぼ大丈夫でしょうというところです
[01:19:38 - 01:19:40] 一番重要なのは
[01:19:40 - 01:19:46] 上が見てる視点と自分の会計として見てる視点と
[01:19:46 - 01:19:48] 作業員が見てる視点っていうのを
[01:19:48 - 01:19:51] それぞれ分けて考えていただく必要があって
[01:19:51 - 01:19:54] ああしてくれこうしてくれっていうのが
[01:19:54 - 01:19:58] 本当にこの電票と物お金が一通り動くというところと
[01:19:58 - 01:20:00] 一致するのかというところだけは
[01:20:00 - 01:20:02] これはもう荒川さんが権限を持っていると考えて
[01:20:02 - 01:20:06] それは無理ですという勇気は一旦必要ですので
[01:20:06 - 01:20:12] そうしないと多分名目上こうしたいという話が
[01:20:12 - 01:20:14] どんどん出てきちゃうというのがあるので
[01:20:14 - 01:20:16] ここだけご注意ください
[01:20:16 - 01:20:17] わかりました
[01:20:17 - 01:20:23] というところでいいですかね
[01:20:23 - 01:20:24] 今日はね
[01:20:24 - 01:20:28] お忙しいところありがとうございます
[01:20:28 - 01:20:32] 長い時間ありがとうございます
[01:20:32 - 01:20:33] すごく参考になりました
[01:20:33 - 01:20:39] すみません今日はここまでということで
[01:20:39 - 01:20:42] ありがとうございました
[01:20:42 - 01:20:44] 失礼いたします
